Test          MVS          VMM          Deviation (%)
tsp_100_1  24373.395          24954.1         2.3827
tsp_100_2  24677.906          22961         6.95739
tsp_100_3  27700.06          25103.1         9.3754
tsp_100_4  24447.086          27093.7         10.8258
tsp_100_5  25773.277          25877.5         0.404208
tsp_100_6  8928.46          9395.25         5.22814
tsp_1000_1  22167385.87          2.23925e+07         1.01569
tsp_101_1  689.954          802.809         16.3569
tsp_105_1  15873.432          17488.9         10.1771
tsp_1060_1  248137.372          282755         13.951
tsp_107_1  47222.923          40334.3         14.5874
tsp_1084_1  265153.235          294548         11.0858
tsp_1173_1  63356.99          72820         14.9361
tsp_11849_1  1071119.092          1.18894e+06         11.0001
tsp_124_1  63099.894          62841.6         0.409272
tsp_127_1  143295.955          142607         0.480856
tsp_1291_1  57189.06          60153.5         5.18361
tsp_1304_1  289240.504          304218         5.17823
tsp_1323_1  309490.167          319604         3.26786
tsp_136_1  111539.266          120043         7.62417
tsp_1379_1  63839.922          68778         7.73512
tsp_1400_1  22579.379          26212.5         16.0905
tsp_14051_1  536828.647          602235         12.1838
tsp_1432_1  170000.605          190729         12.1934
tsp_144_1  62998.159          68201.1         8.25888
tsp_150_1  31271.367          32017         2.3844
tsp_150_2  29640.854          31183.9         5.2057
tsp_152_1  77724.849          77179.6         0.701573
tsp_1577_1  24430.998          26943.2         10.2829
tsp_159_1  42975.849          49950.8         16.2299
tsp_1655_1  71920.58          73368.3         2.01301
tsp_1748_1  377553.075          420503         11.3758
tsp_1817_1  65461.985          67550.3         3.19006
tsp_18512_1  732433.707          862810         17.8004
tsp_1889_1  368168.066          386811         5.06369
tsp_195_1  2562.498          2728.03         6.45985
tsp_198_1  16445.756          17130.8         4.16567
tsp_200_1  33283.472          35603.4         6.97033
tsp_200_2  32986.963          35489.2         7.58538
tsp_2103_1  89773.499          90886         1.23919
tsp_2152_1  73557.28          75596.2         2.77186
tsp_225_1  141351.224          143159         1.27876
tsp_226_1  90543.372          92630.3         2.30489
tsp_2319_1  255588.515          273916         7.17067
tsp_2392_1  378062.826          470378         24.4179
tsp_262_1  2687.772          2924.55         8.80944
tsp_264_1  55830.651          52921.3         5.21107
tsp_299_1  53901.704          59782.4         10.9099
tsp_3038_1  155055.147          174318         12.4234
tsp_318_1  47708.516          51942.6         8.87489
tsp_318_2  47708.516          51942.6         8.87489
tsp_33810_1  75004061.32          8.63506e+07         15.1279
tsp_3795_1  32201.906          33718.8         4.71055
tsp_400_1  17608.833          18733         6.38401
tsp_417_1  13390.59          15287.6         14.1664
tsp_439_1  117242.438          128727         9.79551
tsp_442_1  56253.27          59013.9         4.90751
tsp_4461_1  206362.348          224303         8.694
tsp_493_1  38020.776          42743.9         12.4224
tsp_5_1  4          4         0
tsp_51_1  473.21          490.958         3.75049
tsp_574_1  39403.35          45511.1         15.5005
tsp_575_1  7581.916          8145.67         7.43548
tsp_5915_1  654490.872          757867         15.7949
tsp_5934_1  646471.814          730323         12.9706
tsp_654_1  36445.809          41971.5         15.1615
tsp_657_1  54628.44          61228         12.0809
tsp_70_1  720.722          722.355         0.226612
tsp_724_1  47899.693          52694.2         10.0095
tsp_7397_1  25984409.28          2.89527e+07         11.4234
tsp_76_1  586.61          672.589         14.657
tsp_76_2  127913.159          137008         7.11034
tsp_783_1  9885.706          10787.7         9.12444
tsp_99_1  1347.553         1437.62         6.68347
